"W1","W2","rel"
"whole","unit",2
"organism","being",2
"act","deed",2
"procedure","process",2
"operation","surgery",2
"termination","ending",2
"termination","conclusion",2
"ending","conclusion",2
"accomplishment","achievement",2
"interchange","reciprocation",2
"dealings","traffic",2
"waste","dissipation",2
"feat","effort",2
"arrival","reaching",2
"reappearance","return",2
"return","homecoming",2
"departure","leaving",2
"going","leaving",2
"farewell","leave",2
"desertion","abandonment",2
"desertion","defection",2
"abandonment","defection",2
"disengagement","fallback",2
"escape","flight",2
"getaway","lam",2
"completion","culmination",2
"completion","closing",2
"completion","windup",2
"culmination","closing",2
"culmination","windup",2
"closing","windup",2
"realization","realisation",2
"realization","fruition",2
"realisation","fruition",2
"orgasm","climax",2
"orgasm","coming",2
"climax","coming",2
"fulfillment","fulfilment",2
"hit","strike",2
"hit","bang",2
"strike","bang",2
"pass","qualifying",2
"mistake","error",2
"mistake","fault",2
"error","fault",2
"omission","skip",2
"wrongdoing","misconduct",2
"offense","offence",2
"larceny","theft",2
"larceny","thieving",2
"theft","thieving",2
"maneuver","play",2
"manoeuvre","play",2
"stroke","shot",2
"blot","smear",2
"blot","spot",2
"blot","stain",2
"smear","spot",2
"smear","stain",2
"spot","stain",2
"happening","occurrence",2
"slip","trip",2
"spill","fall",2
"transaction","dealing",2
"transaction","dealings",2
"dealing","dealings",2
"commerce","commercialism",2
"commerce","mercantilism",2
"commercialism","mercantilism",2
"document","papers",2
"inheritance","heritage",2
"borrowing","adoption",2
"sequestration","requisition",2
"apprehension","arrest",2
"apprehension","catch",2
"apprehension","collar",2
"arrest","catch",2
"arrest","collar",2
"catch","collar",2
"return","restoration",2
"recovery","retrieval",2
"proceeding","proceedings",2
"disposal","disposition",2
"selling","merchandising",2
"selling","marketing",2
"merchandising","marketing",2
"rescue","deliverance",2
"rescue","delivery",2
"rescue","saving",2
"deliverance","delivery",2
"deliverance","saving",2
"delivery","saving",2
"redemption","salvation",2
"conversion","rebirth",2
"liberation","freeing",2
"release","freeing",2
"reclamation","reformation",2
"performance","execution",2
"aid","assist",2
"assist","assistance",2
"assist","help",2
"assistance","help",2
"diversion","recreation",2
"entertainment","amusement",2
"presentation","presentment",2
"presentation","demonstration",2
"presentment","demonstration",2
"rendering","interpretation",2
"cognition","knowledge",2
"discipline","subject",2
"discipline","field",2
"discipline","study",2
"discipline","bailiwick",2
"subject","field",2
"subject","study",2
"subject","bailiwick",2
"field","study",2
"field","bailiwick",2
"study","bailiwick",2
"use","usage",2
"use","utilisation",2
"use","employment",2
"use","exercise",2
"usage","utilisation",2
"usage","employment",2
"usage","exercise",2
"utilisation","employment",2
"utilisation","exercise",2
"employment","exercise",2
"propulsion","actuation",2
"roll","bowl",2
"pitch","delivery",2
"curve","bender",2
"heater","smoke",2
"heater","bullet",2
"smoke","bullet",2
"attempt","effort",2
"attempt","endeavor",2
"attempt","endeavour",2
"attempt","try",2
"effort","endeavor",2
"effort","endeavour",2
"effort","try",2
"endeavor","try",2
"endeavour","try",2
"press","pressing",2
"pressure","pressing",2
"draft","drawing",2
"banishment","proscription",2
"exclusion","expulsion",2
"exclusion","riddance",2
"expulsion","riddance",2
"reaction","response",2
"expulsion","projection",2
"vomit","vomiting",2
"vomit","regurgitation",2
"vomiting","regurgitation",2
"jump","jumping",2
"pass","toss",2
"pass","flip",2
"causing","causation",2
"shooting","shot",2
"conflict","struggle",2
"fight","fighting",2
"fight","combat",2
"fight","scrap",2
"fighting","combat",2
"fighting","scrap",2
"combat","scrap",2
"hit","hitting",2
"impingement","impaction",2
"handling","manipulation",2
"walk","pass",2
"chop","chopper",2
"sport","athletics",2
"baseball","ball",2
"motion","move",2
"motion","motility",2
"movement","move",2
"movement","motility",2
"move","motility",2
"belt","rap",2
"whip","lash",2
"whip","whiplash",2
"lash","whiplash",2
"punch","clout",2
"punch","biff",2
"punch","slug",2
"clout","biff",2
"clout","slug",2
"biff","slug",2
"counterpunch","counter",2
"kick","boot",2
"kick","kicking",2
"boot","kicking",2
"catch","snap",2
